#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_CHI_209_NONE;There is no nobody to hunt in the realm at the time.\nThey are either in hiding or recently avoided a duel.;Il n'y a personne pour chasser dans le royaume à ce moment-là.\nIls se cachent ou ont récemment évité un duel.;;;;;;;;;;;;x
EVTDESC_CHI_209_OK;Bounty Hunting is challenging work. I guarantee you'll not go hungry.\nBecause at the end of the day, long as there's two people left on the planet, someone is gonna want someone dead.;La chasse aux primes est un travail stimulant. Je vous garantis que vous n'aurez pas faim.\nParce qu'à la fin de la journée, tant qu'il restera deux personnes sur la planète, quelqu'un voudra tuer quelqu'un.;;;;;;;;;;;;x
EVTOPTA_CHI_209;Hunt [chivalry_hunt_target_one.GetTitledFirstName].;Chasser [chivalry_hunt_target_one.GetTitledFirstName].;;;;;;;;;;;;x
EVTOPTB_CHI_209;Hunt [chivalry_hunt_target_two.GetTitledFirstName].;Chasser [chivalry_hunt_target_two.GetTitledFirstName].;;;;;;;;;;;;x
EVTOPTC_CHI_209;Hunt [chivalry_hunt_target_three.GetTitledFirstName].;Chasser [chivalry_hunt_target_three.GetTitledFirstName].;;;;;;;;;;;;x
EVTOPTD_CHI_209;No interesting target.;Pas de cible intéressante.;;;;;;;;;;;;x

EVTDESC_CHI_401;You contact the [From.GetSocietyRank] to tell him of your plan to offer some of your lands to the order.\nHe agree to offer more men to support you against infidels and to give you a portion of the income they receive from tithe and banking in the province.;Vous contactez [From.GetSocietyRank] pour lui faire part de votre intention d'offrir certaines de vos terres à l'ordre.\n Il accepte d'offrir plus d'hommes pour vous soutenir contre les infidèles et de vous donner une partie du revenu qu'ils reçoivent de la dîme et des banques dans la province.;;;;;;;;;;;;x
EVTOPTA_CHI_401;This site should be appropriate.;Ce site devrait être approprié.;;;;;;;;;;;;x
EVTOPTB_CHI_401;It will be expensive to renovate, but these ruins should do.;Ce sera cher à rénover, mais ces ruines devraient suffire.;;;;;;;;;;;;x
EVTOPTC_CHI_401;That old castle will make for a suitable holy stronghold.;Ce vieux château fera une forteresse sainte convenable.;;;;;;;;;;;;x
EVTOPTD_CHI_401;I've changed my mind.;J'ai changé d'avis.;;;;;;;;;;;;x
EVTDESC_CHI_402;The Holy Order have finished moving the chapter elsewhere as they are no longer in control of the castle they once built here.;Le Saint Ordre a fini de déplacer le chapitre ailleurs car il n'a plus le contrôle du château qu'il avait construit ici.;;;;;;;;;;;;x
EVTOPTA_CHI_402;It was only a matter of time.;Ce n'était qu'une question de temps.;;;;;;;;;;;;x

chivalry_power_take_bounty;The Bounty Board;Le Tableau des Primes;;;;;;;;;;;;x
chivalry_power_take_bounty_desc;Attempt to find a target in the realm to hunt for money.;Tenter de trouver une cible dans le royaume afin de le chasser pour de l'argent.;;;;;;;;;;;;x
chivalry_power_take_bounty_power_desc;§PIntrigue Decision§! Look at some of the bounties available in the realm, if there is any. Hunting them will earn you Ducats¤, Prestige and §Y[From.GetSocietyCurrency]§!.;§PIntrigue Décision§! Regardez certaines des primes disponibles dans le royaume, s'il y en a. Les chasser vous rapportera des Ducats¤, du Prestige et §Y[From.GetSocietyCurrency]§!.;;;;;;;;;;;;x
chivalry_power_holy_castle;Offer land to [From.Society.GetName];Offrir un terrain à [From.Society.GetName];;;;;;;;;;;;x
chivalry_power_holy_castle_desc;You will contact the Grand Master of the [From.Society.GetName] to give them land upon which they may build a castle. It won't be under your own jurisdiction but they will offer you support when you request men from the order or if you are being besieged.\nTo give one of your own castle, use the decision available from the province where it is located.;Vous prendrez contact avec le Grand Maître de [From.Society.GetName] pour leur donner un terrain sur lequel ils pourront construire un château. Ce ne sera pas sous votre propre juridiction mais ils vous offriront leur soutien lorsque vous demanderez des hommes de l'Ordre ou si vous êtes assiégé.\nPour donner un de vos propres châteaux, utilisez la décision disponible dans la province où il est situé.;;;;;;;;;;;;x
chivalry_power_holy_castle_power_desc;§PIntrigue Decision§! Allow you to spend §Y[From.GetSocietyCurrency]§! and perhaps Ducats¤ to give some land to [From.Society.GetName]. It will bolster the province and allow them to send more men when you request it.;§PIntrigue Décision§! Vous permettre de dépenser §Y[From.GetSocietyCurrency]§! et peut-être des Ducats¤ pour donner des terres à [From.Society.GetName]. Cela renforcera la province et lui permettra d'envoyer plus d'hommes lorsque vous en ferez la demande.;;;;;;;;;;;;x
chivalry_allow_holy_castle_tooltip;No empty holding but have room to create more.;Pas d'exploitation vide mais de la place pour en créer d'autres.;;;;;;;;;;;;x
chivalry_no_holy_castle_tooltip;Any province have no holy order castle.;Toutes les provinces n'ont pas de château saint.;;;;;;;;;;;;x
chivalry_start_holy_castle_tooltip;Contact the Grand Master.;Contacter le Grand Maître.;;;;;;;;;;;;x
chivalry_power_holy_castle_province;Offer land to [From.Society.GetName];Offrir un terrain à [From.Society.GetName];;;;;;;;;;;;x
